country,COUNT(DISTINCT combo)
"""GB""",86
"""IT""",70
"""JP""",68
"""US""",61
"""ZA""",52
"""SE""",51
"""IL""",48
"""CL""",43
"""NL""",43
"""DK""",42
"""FR""",38
"""DE""",38
"""NO""",38
"""FI""",38
"""BE""",35
"""BG""",35
"""BR""",34
"""CA""",33
"""IE""",31
"""CH""",31
"""AT""",30
"""ES""",29
"""RU""",29
"""KR""",27
"""GR""",26
"""RO""",26
"""CN""",25
"""MX""",25
"""EC""",22
"""PL""",21
"""HR""",21
"""KZ""",20
"""PE""",19
"""EE""",19
"""TW""",19
"""TN""",18
"""PS""",18
"""CZ""",17
"""MN""",17
"""RS""",17
"""AU""",16
"""UY""",16
"""IN""",16
"""DZ""",16
"""SK""",16
"""LT""",16
"""TR""",15
"""PT""",14
"""CO""",14
"""SI""",14
"""AR""",14
"""MK""",14
"""LU""",14
"""HU""",14
"""UA""",13
"""NG""",13
"""NA""",13
"""LV""",12
"""EG""",11
"""IS""",11
"""CY""",11
"""TH""",11
"""BO""",11
"""BZ""",11
"""SN""",11
"""MM""",11
"""HN""",11
"""VN""",10
"""SG""",10
"""PA""",10
"""NP""",10
"""MY""",9
"""BA""",9
"""CR""",9
"""AZ""",9
"""AL""",9
"""AM""",9
"""IQ""",9
"""ID""",8
"""MG""",8
"""MA""",8
"""BY""",8
"""HK""",8
"""NZ""",8
"""KE""",8
"""NE""",8
"""BW""",8
"""LB""",8
"""GN""",8
"""MU""",8
"""MR""",8
"""BT""",8
"""LY""",8
"""ZW""",7
"""BD""",7
"""ML""",7
"""PH""",7
"""DO""",7
"""SD""",7
"""KW""",7
"""SL""",7
"""ME""",7
"""FO""",7
"""CU""",6
"""PY""",6
"""KP""",6
"""ZM""",6
"""AF""",6
"""LK""",6
"""KH""",6
"""JO""",6
"""SA""",6
"""IR""",6
"""PK""",6
"""AO""",6
"""TD""",6
"""VE""",5
"""CM""",5
"""CI""",5
"""LS""",5
"""SV""",5
"""SY""",5
"""NI""",5
"""GH""",5
"""GE""",5
"""KG""",5
"""CF""",5
"""AE""",5
"""BH""",5
"""TJ""",5
"""MT""",5
"""RW""",5
"""MZ""",5
"""PG""",5
"""NC""",4
"""BF""",4
"""SS""",4
"""GT""",4
"""CD""",4
"""UG""",4
"""TG""",4
"""JM""",4
"""GP""",4
"""OM""",4
"""YT""",4
"""ET""",4
"""HT""",4
"""RE""",4
"""GA""",4
"""QA""",4
"""TL""",4
"""MD""",4
"""GF""",3
"""LA""",3
"""MQ""",3
"""FJ""",3
"""UZ""",3
"""SR""",3
"""BB""",3
"""DM""",3
"""MV""",3
"""TT""",3
"""KY""",3
"""BM""",3
"""AI""",3
"""LC""",3
"""BS""",3
"""YE""",3
"""SC""",3
"""SJ""",3
"""GG""",3
"""SZ""",2
"""CG""",2
"""TZ""",2
"""MW""",2
"""PF""",2
"""JE""",2
"""BJ""",2
"""AW""",2
"""TM""",2
"""GD""",2
"""AX""",2
"""IM""",2
"""DJ""",1
"""BN""",1
"""KM""",1
"""AG""",1
"""GY""",1
"""VG""",1
"""LR""",1
"""BI""",1
"""CV""",1
"""GM""",1