yearMonth,COUNT(DISTINCT combo)
"""2004-12""",2
"""2005-1""",17
"""2005-10""",21
"""2005-11""",20
"""2005-12""",12
"""2005-2""",7
"""2005-3""",11
"""2005-4""",11
"""2005-5""",13
"""2005-6""",8
"""2005-7""",16
"""2005-8""",14
"""2005-9""",17
"""2006-1""",17
"""2006-10""",19
"""2006-11""",20
"""2006-12""",15
"""2006-2""",14
"""2006-3""",12
"""2006-4""",16
"""2006-5""",19
"""2006-6""",12
"""2006-7""",16
"""2006-8""",21
"""2006-9""",17
"""2007-1""",19
"""2007-10""",21
"""2007-11""",18
"""2007-12""",7
"""2007-2""",13
"""2007-3""",16
"""2007-4""",15
"""2007-5""",16
"""2007-6""",14
"""2007-7""",17
"""2007-8""",20
"""2007-9""",25
"""2008-1""",17
"""2008-10""",26
"""2008-11""",19
"""2008-12""",17
"""2008-2""",16
"""2008-3""",19
"""2008-4""",21
"""2008-5""",16
"""2008-6""",21
"""2008-7""",23
"""2008-8""",18
"""2008-9""",18
"""2009-1""",14
"""2009-10""",28
"""2009-11""",26
"""2009-12""",20
"""2009-2""",16
"""2009-3""",23
"""2009-4""",18
"""2009-5""",14
"""2009-6""",20
"""2009-7""",20
"""2009-8""",12
"""2009-9""",21
"""2010-1""",18
"""2010-10""",16
"""2010-11""",17
"""2010-12""",16
"""2010-2""",18
"""2010-3""",22
"""2010-4""",18
"""2010-5""",21
"""2010-6""",20
"""2010-7""",19
"""2010-8""",29
"""2010-9""",17
"""2011-1""",21
"""2011-10""",22
"""2011-11""",22
"""2011-12""",25
"""2011-2""",23
"""2011-3""",19
"""2011-4""",21
"""2011-5""",23
"""2011-6""",18
"""2011-7""",12
"""2011-8""",20
"""2011-9""",22
"""2012-1""",21
"""2012-10""",23
"""2012-11""",22
"""2012-12""",19
"""2012-2""",24
"""2012-3""",21
"""2012-4""",27
"""2012-5""",22
"""2012-6""",16
"""2012-7""",17
"""2012-8""",15
"""2012-9""",20
"""2013-1""",21
"""2013-10""",29
"""2013-11""",22
"""2013-12""",18
"""2013-2""",18
"""2013-3""",25
"""2013-4""",21
"""2013-5""",23
"""2013-6""",15
"""2013-7""",24
"""2013-8""",25
"""2013-9""",27
"""2014-1""",18
"""2014-10""",10
"""2014-11""",7
"""2014-12""",7
"""2014-2""",16
"""2014-3""",18
"""2014-4""",15
"""2014-5""",13
"""2014-6""",14
"""2014-7""",15
"""2014-8""",14
"""2014-9""",8
"""2015-1""",6
"""2015-10""",5
"""2015-11""",3
"""2015-12""",3
"""2015-2""",6
"""2015-3""",4
"""2015-4""",4
"""2015-5""",8
"""2015-6""",6
"""2015-7""",3
"""2015-8""",4
"""2015-9""",4
"""2016-1""",3
"""2016-10""",3
"""2016-11""",3
"""2016-12""",3
"""2016-2""",3
"""2016-3""",4
"""2016-4""",4
"""2016-5""",4
"""2016-6""",3
"""2016-7""",4
"""2016-8""",4
"""2016-9""",4
"""2017-1""",4
"""2017-10""",3
"""2017-11""",3
"""2017-12""",3
"""2017-2""",3
"""2017-3""",3
"""2017-4""",4
"""2017-5""",3
"""2017-6""",4
"""2017-7""",4
"""2017-8""",3
"""2017-9""",3
"""2018-1""",4
"""2018-10""",5
"""2018-11""",4
"""2018-12""",5
"""2018-2""",3
"""2018-3""",4
"""2018-4""",5
"""2018-5""",4
"""2018-6""",6
"""2018-7""",6
"""2018-8""",3
"""2018-9""",5
"""2019-1""",6
"""2019-10""",19
"""2019-11""",17
"""2019-12""",18
"""2019-2""",6
"""2019-3""",5
"""2019-4""",15
"""2019-5""",18
"""2019-6""",17
"""2019-7""",25
"""2019-8""",22
"""2019-9""",20
"""2020-1""",21
"""2020-10""",43
"""2020-11""",76
"""2020-12""",63
"""2020-2""",22
"""2020-3""",19
"""2020-4""",29
"""2020-5""",28
"""2020-6""",25
"""2020-7""",29
"""2020-8""",31
"""2020-9""",36
"""2021-1""",60
"""2021-10""",23
"""2021-11""",20
"""2021-12""",22
"""2021-2""",61
"""2021-3""",66
"""2021-4""",53
"""2021-5""",53
"""2021-6""",44
"""2021-7""",28
"""2021-8""",28
"""2021-9""",25
"""2022-1""",22
"""2022-10""",60
"""2022-11""",68
"""2022-12""",80
"""2022-2""",24
"""2022-3""",32
"""2022-4""",39
"""2022-5""",34
"""2022-6""",37
"""2022-7""",33
"""2022-8""",24
"""2022-9""",42
"""2023-1""",62
"""2023-2""",53
"""2023-3""",59
"""2023-4""",43
"""2023-5""",39
"""2023-6""",38
"""2023-7""",12