yearMonth,country,species,class,monthlyCases
"""2013-5""","""AR""","""Homo sapiens""","""Mammalia""",40
"""2015-10""","""BD""","""Homo sapiens""","""Mammalia""",22
"""2013-12""","""CA""","""Homo sapiens""","""Mammalia""",2406
"""2010-11""","""CN""","""Homo sapiens""","""Mammalia""",735
"""2010-5""","""CN""","""Homo sapiens""","""Mammalia""",675
"""2012-5""","""CN""","""Homo sapiens""","""Mammalia""",2553
"""2012-6""","""CN""","""Homo sapiens""","""Mammalia""",2169
"""2021-7""","""CN""","""Homo sapiens""","""Mammalia""",1845
"""2021-8""","""CN""","""Homo sapiens""","""Mammalia""",597
"""2009-1""","""EG""","""Homo sapiens""","""Mammalia""",12
"""2009-11""","""EG""","""Homo sapiens""","""Mammalia""",1370
"""2009-12""","""EG""","""Homo sapiens""","""Mammalia""",1752
"""2009-2""","""EG""","""Homo sapiens""","""Mammalia""",18
"""2009-3""","""EG""","""Homo sapiens""","""Mammalia""",30
"""2009-4""","""EG""","""Homo sapiens""","""Mammalia""",38
"""2009-5""","""EG""","""Homo sapiens""","""Mammalia""",110
"""2009-6""","""EG""","""Homo sapiens""","""Mammalia""",100
"""2009-7""","""EG""","""Homo sapiens""","""Mammalia""",204
"""2009-8""","""EG""","""Homo sapiens""","""Mammalia""",342
"""2009-9""","""EG""","""Homo sapiens""","""Mammalia""",1132
"""2010-1""","""EG""","""Homo sapiens""","""Mammalia""",792
"""2010-11""","""EG""","""Homo sapiens""","""Mammalia""",128
"""2010-12""","""EG""","""Homo sapiens""","""Mammalia""",2092
"""2010-2""","""EG""","""Homo sapiens""","""Mammalia""",302
"""2010-3""","""EG""","""Homo sapiens""","""Mammalia""",54
"""2010-7""","""EG""","""Homo sapiens""","""Mammalia""",28
"""2010-8""","""EG""","""Homo sapiens""","""Mammalia""",12
"""2011-1""","""EG""","""Homo sapiens""","""Mammalia""",2012
"""2011-10""","""EG""","""Homo sapiens""","""Mammalia""",54
"""2011-11""","""EG""","""Homo sapiens""","""Mammalia""",120
"""2011-12""","""EG""","""Homo sapiens""","""Mammalia""",38
"""2011-2""","""EG""","""Homo sapiens""","""Mammalia""",50
"""2011-3""","""EG""","""Homo sapiens""","""Mammalia""",26
"""2011-4""","""EG""","""Homo sapiens""","""Mammalia""",6
"""2011-5""","""EG""","""Homo sapiens""","""Mammalia""",10
"""2011-6""","""EG""","""Homo sapiens""","""Mammalia""",4
"""2011-7""","""EG""","""Homo sapiens""","""Mammalia""",2
"""2012-1""","""EG""","""Homo sapiens""","""Mammalia""",18
"""2012-12""","""EG""","""Homo sapiens""","""Mammalia""",122
"""2012-2""","""EG""","""Homo sapiens""","""Mammalia""",38
"""2012-3""","""EG""","""Homo sapiens""","""Mammalia""",70
"""2012-4""","""EG""","""Homo sapiens""","""Mammalia""",16
"""2012-5""","""EG""","""Homo sapiens""","""Mammalia""",18
"""2013-3""","""EG""","""Homo sapiens""","""Mammalia""",34
"""2013-4""","""EG""","""Homo sapiens""","""Mammalia""",46
"""2013-5""","""EG""","""Homo sapiens""","""Mammalia""",40
"""2014-11""","""EG""","""Homo sapiens""","""Mammalia""",262
"""2014-12""","""EG""","""Homo sapiens""","""Mammalia""",1328
"""2014-3""","""EG""","""Homo sapiens""","""Mammalia""",202
"""2014-6""","""EG""","""Homo sapiens""","""Mammalia""",28
"""2014-9""","""EG""","""Homo sapiens""","""Mammalia""",10
"""2015-1""","""EG""","""Homo sapiens""","""Mammalia""",722
"""2015-2""","""EG""","""Homo sapiens""","""Mammalia""",358
"""2015-3""","""EG""","""Homo sapiens""","""Mammalia""",402
"""2015-4""","""EG""","""Homo sapiens""","""Mammalia""",96
"""2015-6""","""EG""","""Homo sapiens""","""Mammalia""",38
"""2016-3""","""EG""","""Homo sapiens""","""Mammalia""",134
"""2016-5""","""EG""","""Homo sapiens""","""Mammalia""",88
"""2016-6""","""EG""","""Homo sapiens""","""Mammalia""",28
"""2016-8""","""EG""","""Homo sapiens""","""Mammalia""",8
"""2017-2""","""EG""","""Homo sapiens""","""Mammalia""",52
"""2017-4""","""EG""","""Homo sapiens""","""Mammalia""",38
"""2010-2""","""ID""","""Homo sapiens""","""Mammalia""",33
"""2014-6""","""ID""","""Homo sapiens""","""Mammalia""",30
"""2021-3""","""IQ""","""Homo sapiens""","""Mammalia""",36
"""2013-5""","""IT""","""Homo sapiens""","""Mammalia""",20
"""2010-1""","""KE""","""Homo sapiens""","""Mammalia""",186
"""2009-12""","""KH""","""Homo sapiens""","""Mammalia""",42
"""2010-4""","""KH""","""Homo sapiens""","""Mammalia""",3
"""2011-2""","""KH""","""Homo sapiens""","""Mammalia""",30
"""2011-4""","""KH""","""Homo sapiens""","""Mammalia""",12
"""2011-6""","""KH""","""Homo sapiens""","""Mammalia""",24
"""2011-7""","""KH""","""Homo sapiens""","""Mammalia""",51
"""2011-8""","""KH""","""Homo sapiens""","""Mammalia""",57
"""2012-1""","""KH""","""Homo sapiens""","""Mammalia""",3
"""2012-4""","""KH""","""Homo sapiens""","""Mammalia""",6
"""2012-5""","""KH""","""Homo sapiens""","""Mammalia""",9
"""2013-1""","""KH""","""Homo sapiens""","""Mammalia""",48
"""2013-10""","""KH""","""Homo sapiens""","""Mammalia""",105
"""2013-11""","""KH""","""Homo sapiens""","""Mammalia""",84
"""2013-2""","""KH""","""Homo sapiens""","""Mammalia""",15
"""2013-3""","""KH""","""Homo sapiens""","""Mammalia""",6
"""2013-4""","""KH""","""Homo sapiens""","""Mammalia""",9
"""2013-6""","""KH""","""Homo sapiens""","""Mammalia""",27
"""2013-7""","""KH""","""Homo sapiens""","""Mammalia""",21
"""2013-8""","""KH""","""Homo sapiens""","""Mammalia""",63
"""2013-9""","""KH""","""Homo sapiens""","""Mammalia""",21
"""2014-2""","""KH""","""Homo sapiens""","""Mammalia""",15
"""2014-3""","""KH""","""Homo sapiens""","""Mammalia""",15
"""2019-3""","""NP""","""Homo sapiens""","""Mammalia""",84
"""2005-10""","""TH""","""Homo sapiens""","""Mammalia""",27
"""2009-1""","""US""","""Homo sapiens""","""Mammalia""",6
"""2009-11""","""US""","""Homo sapiens""","""Mammalia""",685
"""2009-12""","""US""","""Homo sapiens""","""Mammalia""",876
"""2009-2""","""US""","""Homo sapiens""","""Mammalia""",9
"""2009-3""","""US""","""Homo sapiens""","""Mammalia""",15
"""2009-4""","""US""","""Homo sapiens""","""Mammalia""",19
"""2009-5""","""US""","""Homo sapiens""","""Mammalia""",55
"""2009-6""","""US""","""Homo sapiens""","""Mammalia""",50
"""2009-7""","""US""","""Homo sapiens""","""Mammalia""",102
"""2009-8""","""US""","""Homo sapiens""","""Mammalia""",171
"""2009-9""","""US""","""Homo sapiens""","""Mammalia""",566
"""2010-1""","""US""","""Homo sapiens""","""Mammalia""",396
"""2010-11""","""US""","""Homo sapiens""","""Mammalia""",64
"""2010-12""","""US""","""Homo sapiens""","""Mammalia""",1046
"""2010-2""","""US""","""Homo sapiens""","""Mammalia""",151
"""2010-3""","""US""","""Homo sapiens""","""Mammalia""",27
"""2010-7""","""US""","""Homo sapiens""","""Mammalia""",14
"""2010-8""","""US""","""Homo sapiens""","""Mammalia""",6
"""2011-1""","""US""","""Homo sapiens""","""Mammalia""",1006
"""2011-10""","""US""","""Homo sapiens""","""Mammalia""",27
"""2011-11""","""US""","""Homo sapiens""","""Mammalia""",60
"""2011-12""","""US""","""Homo sapiens""","""Mammalia""",19
"""2011-2""","""US""","""Homo sapiens""","""Mammalia""",25
"""2011-3""","""US""","""Homo sapiens""","""Mammalia""",13
"""2011-4""","""US""","""Homo sapiens""","""Mammalia""",3
"""2011-5""","""US""","""Homo sapiens""","""Mammalia""",5
"""2011-6""","""US""","""Homo sapiens""","""Mammalia""",2
"""2011-7""","""US""","""Homo sapiens""","""Mammalia""",1
"""2012-1""","""US""","""Homo sapiens""","""Mammalia""",9
"""2012-12""","""US""","""Homo sapiens""","""Mammalia""",61
"""2012-2""","""US""","""Homo sapiens""","""Mammalia""",19
"""2012-3""","""US""","""Homo sapiens""","""Mammalia""",35
"""2012-4""","""US""","""Homo sapiens""","""Mammalia""",8
"""2012-5""","""US""","""Homo sapiens""","""Mammalia""",9
"""2013-3""","""US""","""Homo sapiens""","""Mammalia""",17
"""2013-4""","""US""","""Homo sapiens""","""Mammalia""",23
"""2013-5""","""US""","""Homo sapiens""","""Mammalia""",20
"""2014-11""","""US""","""Homo sapiens""","""Mammalia""",131
"""2014-12""","""US""","""Homo sapiens""","""Mammalia""",664
"""2014-3""","""US""","""Homo sapiens""","""Mammalia""",101
"""2014-6""","""US""","""Homo sapiens""","""Mammalia""",14
"""2014-9""","""US""","""Homo sapiens""","""Mammalia""",5
"""2015-1""","""US""","""Homo sapiens""","""Mammalia""",361
"""2015-2""","""US""","""Homo sapiens""","""Mammalia""",179
"""2015-3""","""US""","""Homo sapiens""","""Mammalia""",201
"""2015-4""","""US""","""Homo sapiens""","""Mammalia""",48
"""2015-6""","""US""","""Homo sapiens""","""Mammalia""",19
"""2016-3""","""US""","""Homo sapiens""","""Mammalia""",67
"""2016-5""","""US""","""Homo sapiens""","""Mammalia""",44
"""2016-6""","""US""","""Homo sapiens""","""Mammalia""",14
"""2016-8""","""US""","""Homo sapiens""","""Mammalia""",4
"""2017-2""","""US""","""Homo sapiens""","""Mammalia""",26
"""2017-4""","""US""","""Homo sapiens""","""Mammalia""",19