species,disease,ParasiteGMPD,close,nonclose,vector,intermediate
Phoca largha,Japanese encephalitis,Flavivirus Japanese encephalitis virus,0,0,1,0
Phoca largha,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Phoca vitulina,Bunyaviridae infections - misc.,Orthobunyavirus Bunyamwera orthobunyavirus (Batai virus),0,0,1,0
Phoca vitulina,Coccidioidomycosis,Coccidioides sp.,NA,NA,NA,NA
Phoca vitulina,Cryptococcosis,Cryptococcus gattii,NA,NA,NA,NA
Phoca vitulina,Cryptosporidiosis,Cryptosporidium sp.,NA,NA,NA,NA
Phoca vitulina,Dioctophyma renale infection,Dioctophyma renale,0,0,0,1
Phoca vitulina,Eastern equine encephalitis,Alphavirus Eastern equine encephalitis virus,0,0,1,0
Phoca vitulina,Giardiasis,Giardia duodenalis,1,1,0,0
Phoca vitulina,Leptospirosis,Leptospira interrogans,1,1,0,0
Phoca vitulina,Q-fever,Coxiella burnetii,1,1,1,0
Phoca vitulina,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Procyon pygmaeus,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Procyon pygmaeus,Tularemia,Francisella tularensis,1,1,1,0
Potos flavus,Baylisascariasis,Baylisascaris procyonis,0,1,0,1
Potos flavus,Blastomycosis,Blastomyces dermatitidis,1,1,0,0
Potos flavus,Leishmaniasis - cutaneous,Leishmania amazonensis,NA,NA,NA,NA
Potos flavus,Mayaro,Alphavirus Mayaro virus,0,0,1,0
Potos flavus,Rabies,Lyssavirus Rabies lyssavirus,1,0,0,0
Potos flavus,Trypanosomiasis - American,Trypanosoma cruzi,0,0,1,0
Prionailurus bengalensis,Bartonellosis - cat borne,Bartonella henselae,0,0,1,0
Prionailurus bengalensis,Clonorchiasis,Clonorchis sinensis,NA,NA,NA,NA
Prionailurus bengalensis,Paragonimiasis,Paragonimus westermani,0,0,0,1
Prionailurus bengalensis,Bartonellosis - cat borne,Bartonella henselae,0,0,1,0
Prionailurus viverrinus,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Procyon lotor,Ehrlichiosis - human monocytic,Ehrlichia chaffeensis,0,0,1,0
Procyon lotor,Histoplasmosis,Histoplasma capsulatum,0,1,0,0
Procyon lotor,Influenza,Influenzavirus A Influenza A virus,1,0,0,0
Procyon lotor,Japanese spotted fever,Rickettsia japonica,NA,NA,NA,NA
Procyon lotor,Leptospirosis,Leptospira interrogans,1,1,0,0
Procyon lotor,Lyme disease,"Borrelia afzelii, Borrelia garinii",0,0,1,0
Procyon lotor,Metagonimiasis,Metagonimus yokogawai,0,0,0,1
Procyon lotor,Plesiomonas infection,Plesiomonas shigelloides,0,1,0,0
Procyon lotor,Powassan,Flavivirus sp.,NA,NA,NA,NA
Procyon lotor,Q-fever,Coxiella burnetii,1,1,1,0
Procyon lotor,Rabies,Lyssavirus Rabies lyssavirus,1,0,0,0
Procyon lotor,Rickettsia felis infection,Rickettsia felis,NA,NA,NA,NA
Procyon lotor,Salmonellosis,Salmonella enterica,1,1,0,0
Procyon lotor,Spotted fevers - Old World,Rickettsia helvetica,NA,NA,NA,NA
Procyon lotor,Thogoto group,Bourbon virus,NA,NA,NA,NA
Procyon lotor,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Procyon lotor,Tularemia,Francisella tularensis,1,1,1,0
Procyon lotor,Typhus - scrub,Orientia tsutsugamushi,NA,NA,NA,NA
Procyon lotor,West Nile fever,Flavivirus West Nile virus,0,0,1,0
Procyon lotor,Yersiniosis,Yersinia pseudotuberculosis,1,1,0,0
Procyon lotor,Anaplasmosis,Anaplasma phagocytophilum,0,0,1,0
Procyon lotor,Babesiosis,Babesia microti,0,0,1,0
Procyon lotor,Bartonellosis - other systemic,"Bartonella vinsonii, Borrelia rochalimae",0,1,1,0
Procyon lotor,Baylisascariasis,Baylisascaris procyonis,0,1,0,1
Procyon lotor,California encephalitis group,Orthobunyavirus California encephalitis orthobunyavirus,0,0,1,0
Procyon lotor,Campylobacteriosis,Campylobacter sp.,NA,NA,NA,NA
Procyon lotor,Dirofilariasis,Dirofilaria tenuis,0,0,1,0
Procyon lotor,Trypanosomiasis - American,Trypanosoma cruzi,0,0,1,0
Puma concolor,Anaplasmosis,Anaplasma phagocytophilum,0,0,1,0
Puma concolor,Anthrax,Bacillus anthracis,0,1,0,0
Puma concolor,Bartonellosis - cat borne,Bartonella henselae,0,0,1,0
Puma concolor,Capillariasis - extraintestinal,Capillaria hepatica,0,1,0,1
Puma concolor,Echinococcosis - American polycystic,Echinococcus oligarthrus,0,0,0,1
Puma concolor,Lagochilascariasis,Lagochilascaris minor,NA,NA,NA,NA
Puma concolor,Lyme disease,Borrelia burgdorferi,0,0,1,0
Puma concolor,Plague,Yersinia pestis,1,0,1,0
Puma concolor,Toxocariasis,Toxocara cati,1,0,0,0
Puma concolor,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Puma concolor,Tularemia,Francisella tularensis,1,1,1,0
Herpailurus yagouaroundi,Echinococcosis - American polycystic,Echinococcus oligarthrus,0,0,0,1
Herpailurus yagouaroundi,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Pusa hispida,Rabies,Lyssavirus Rabies lyssavirus,1,0,0,0
Speothos venaticus,Bartonellosis - cat borne,"Bartonella clarridgeiae, Bartonella henselae, Bartonella vinsonii, Bartonella rochalimae",0,1,1,0
Speothos venaticus,Bartonellosis - other systemic,"Bartonella clarridgeiae, Bartonella vinsonii, Bartonella henselae, Bartonella rochalimae",0,1,1,0
Speothos venaticus,Echinococcosis - American polycystic,Echinococcus vogeli,NA,NA,NA,NA
Speothos venaticus,Lagochilascariasis,Lagochilascaris minor,NA,NA,NA,NA
Speothos venaticus,Leishmaniasis - visceral,Leishmania infantum,1,0,1,1
Acinonyx jubatus,Anthrax,Bacillus anthracis,0,1,0,0
Acinonyx jubatus,Bartonellosis - cat borne,Bartonella koehlerae,NA,NA,NA,NA
Acinonyx jubatus,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Acinonyx jubatus,Vaccinia and cowpox,Cowpox virus,NA,NA,NA,NA
Arctictis binturong,Influenza,Influenzavirus A Influenza A virus,1,0,0,0
Arctictis binturong,Plesiomonas infection,Plesiomonas shigelloides,0,1,0,0
Arctocephalus australis,Anisakiasis,Contracaecum osculatum,0,1,0,1
Arctocephalus australis,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Arctocephalus forsteri,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Arctocephalus gazella,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Arctocephalus townsendi,Leptospirosis,"Leptospira interrogans Canicola, Leptospira interrogans Icterohaemorrhagiae, Leptospira interrogans Bratislava",1,1,0,0
Taxidea taxus,Influenza,Influenzavirus A Influenza A virus,1,0,0,0
Taxidea taxus,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Panthera uncia,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Urocyon cinereoargenteus,Anaplasmosis,Anaplasma phagocytophilum,0,0,1,0
Urocyon cinereoargenteus,Bartonellosis - cat borne,Bartonella vinsonii,0,1,1,0
Urocyon cinereoargenteus,Bartonellosis - other systemic,"Bartonella vinsonii, Bartonella rochalimae",0,1,1,0
Urocyon cinereoargenteus,Dirofilariasis,Dirofilaria immitis,0,0,1,0
Urocyon cinereoargenteus,Rabies,Lyssavirus Rabies lyssavirus,1,0,0,0
Urocyon cinereoargenteus,Trypanosomiasis - American,Trypanosoma cruzi,0,0,1,0
Urocyon cinereoargenteus,West Nile fever,Flavivirus West Nile virus,0,0,1,0
Urocyon littoralis,Bartonellosis - cat borne,Bartonella vinsonii,0,1,1,0
Urocyon littoralis,Bartonellosis - other systemic,Bartonella clarridgeiae,0,1,1,0
Urocyon littoralis,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Ursus americanus,Anaplasmosis,Anaplasma phagocytophilum,0,0,1,0
Ursus americanus,Babesiosis,Babesia microti,0,0,1,0
Ursus americanus,Baylisascariasis,Baylisascaris procyonis,0,1,0,1
Ursus americanus,Blastomycosis,Blastomyces dermatitidis,1,1,0,0
Ursus americanus,Cysticercosis,Taenia solium,0,1,0,0
Ursus americanus,Dirofilariasis,Dirofilaria ursi,0,0,1,0
Ursus americanus,Eastern equine encephalitis,Alphavirus Eastern equine encephalitis virus,0,0,1,0
Ursus americanus,Ehrlichiosis - human monocytic,Ehrlichia chaffeensis,0,0,1,0
Ursus americanus,Leptospirosis,Leptospira grippotyphosa,1,1,0,0
Ursus americanus,Listeriosis,Listeria monocytogenes,1,1,0,0
Ursus americanus,Plague,Yersinia pestis,1,0,1,0
Ursus americanus,Q-fever,Coxiella burnetii,1,1,1,0
Ursus americanus,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Ursus americanus,Trichinosis,Trichinella spiralis,0,1,0,0
Ursus americanus,Tularemia,Francisella tularensis,1,1,1,0
Ursus americanus,West Nile fever,Flavivirus West Nile virus,0,0,1,0
Ursus arctos,Trichinosis,Trichinella sp. T9,NA,NA,NA,NA
Ursus arctos,West Nile fever,Flavivirus West Nile virus,0,0,1,0
Ursus arctos,Anaplasmosis,Anaplasma phagocytophilum,0,0,1,0
Ursus arctos,Baylisascariasis,Baylisascaris procyonis,0,1,0,1
Ursus arctos,Brucellosis,Brucella suis,NA,NA,NA,NA
Ursus arctos,Bunyaviridae infections - misc.,Phlebovirus Bhanja virus,0,0,1,0
Ursus arctos,California encephalitis group,Orthobunyavirus California encephalitis orthobunyavirus,0,0,1,0
Ursus arctos,Cryptosporidiosis,Cryptosporidium sp.,NA,NA,NA,NA
Ursus arctos,Histoplasmosis,Histoplasma capsulatum,0,1,0,0
Ursus arctos,Leptospirosis,"Leptospira interrogans Canicola, Leptospira interrogans Icterohaemorrhagiae, Leptospira interrogans Grippotyphosa",1,1,0,0
Ursus arctos,Ornithosis,Chlamydia psittaci,1,1,1,0
Ursus arctos,Phleboviruses - Old World,Phlebovirus Sandfly fever Naples phlebovirus,0,0,1,0
Ursus arctos,Q-fever,Coxiella burnetii,1,1,1,0
Ursus arctos,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Ursus arctos,Tularemia,Francisella tularensis,1,1,1,0
Ursus maritimus,Clostridioides difficile colitis,Clostridioides difficile,0,1,0,0
Ursus maritimus,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Ursus maritimus,Trichinosis,Trichinella sp.,NA,NA,NA,NA
Ursus thibetanus,Cryptosporidiosis,Cryptosporidium andersoni,NA,NA,NA,NA
Ursus thibetanus,Microsporidiosis,Enterocytozoon bieneusi,NA,NA,NA,NA
Ursus thibetanus,Tularemia,Francisella tularensis,1,1,1,0
Viverra tangalunga,Filariasis - Brugia malayi,Brugia malayi,0,0,1,0
Vormela peregusna,Lyme disease,Borrelia burgdorferi,0,0,1,0
Vulpes cana,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Vulpes corsac,Leishmaniasis - visceral,Leishmania infantum,1,0,1,1
Vulpes corsac,Trichinosis,Trichinella pseudospiralis,0,1,0,0
Vulpes ferrilata,Echinococcosis - multilocular,Echinococcus multilocularis,0,0,0,1
Vulpes lagopus,Cryptosporidiosis,Cryptosporidium canis,NA,NA,NA,NA
Vulpes lagopus,Echinococcosis - multilocular,Echinococcus multilocularis,0,0,0,1
Vulpes lagopus,Microsporidiosis,Enterocytozoon bieneusi,NA,NA,NA,NA
Vulpes lagopus,Rabies,Lyssavirus Rabies lyssavirus,1,0,0,0
Vulpes lagopus,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Vulpes lagopus,Trichinosis,Trichinella sp.,NA,NA,NA,NA
Vulpes vulpes,Anaplasmosis,Anaplasma phagocytophilum,0,0,1,0
Vulpes vulpes,Babesiosis,Babesia microti,0,0,1,0
Vulpes vulpes,Bartonellosis - cat borne,Bartonella clarridgeiae,0,1,1,0
Vulpes vulpes,Bartonellosis - other systemic,"Bartonella vinsonii, Bartonella rochalimae",0,1,1,0
Vulpes vulpes,California encephalitis group,Orthobunyavirus California encephalitis orthobunyavirus,0,0,1,0
Vulpes vulpes,Capillariasis - extraintestinal,Capillaria aerophila,0,1,0,1
Vulpes vulpes,Coenurosis,Taenia multiceps,0,1,0,1
Vulpes vulpes,Cryptosporidiosis,Cryptosporidium sp.,NA,NA,NA,NA
Vulpes vulpes,Dioctophyma renale infection,Dioctophyma renale,0,0,0,1
Vulpes vulpes,Diphtheria,Corynebacterium diphtheriae,1,0,0,0
Vulpes vulpes,Diphyllobothriasis,Diphyllobothrium latum,0,0,0,1
Vulpes vulpes,Dipylidiasis,Dipylidium caninum,0,0,0,1
Vulpes vulpes,Dirofilariasis,Dirofilaria repens,0,0,1,0
Vulpes vulpes,Echinococcosis - multilocular,Echinococcus multilocularis,0,0,0,1
Vulpes vulpes,Echinococcosis - unilocular,Echinococcus granulosus,0,1,0,1
Vulpes vulpes,Ehrlichiosis - human monocytic,Ehrlichia canis,0,0,1,0
Vulpes vulpes,Giardiasis,Giardia duodenalis,1,1,0,0
Vulpes vulpes,Hantaviruses - Old World,Puumala orthohantavirus,NA,NA,NA,NA
Vulpes vulpes,Hymenolepis diminuta infection,Hymenolepis diminuta,0,0,0,1
Vulpes vulpes,Hymenolepis nana infection,Hymenolepis nana,0,0,0,1
Vulpes vulpes,Influenza,Influenzavirus A Influenza A virus,1,0,0,0
Vulpes vulpes,Leishmaniasis - cutaneous,Leishmania major,NA,NA,NA,NA
Vulpes vulpes,Leishmaniasis - visceral,Leishmania infantum,1,0,1,1
Vulpes vulpes,Leptospirosis,Leptospira interrogans,1,1,0,0
Vulpes vulpes,Lyme disease,Borrelia burgdorferi,0,0,1,0
Vulpes vulpes,Lymphocytic choriomeningitis,Mammarenavirus Lymphocytic choriomeningitis mammarenavirus,1,1,0,0
Vulpes vulpes,Metagonimiasis,Metagonimus yokogawai,0,0,0,1
Vulpes vulpes,Opisthorchiasis,Opisthorchis felineus,0,0,0,1
Vulpes vulpes,Paragonimiasis,Paragonimus kellicotti,0,0,0,1
Vulpes vulpes,Powassan,Flavivirus sp.,NA,NA,NA,NA
Vulpes vulpes,Q-fever,Coxiella burnetii,1,1,1,0
Vulpes vulpes,Rabies,Lyssavirus Rabies lyssavirus,1,0,0,0
Vulpes vulpes,Rickettsia felis infection,Rickettsia felis,NA,NA,NA,NA
Vulpes vulpes,Sarcocystosis,Sarcocystis sp.,NA,NA,NA,NA
Vulpes vulpes,Spotted fevers - Old World,"Rickettsia massiliae, Rickettsia helvetica",NA,NA,NA,NA
Vulpes vulpes,Taeniasis,"Taenia pisiformis, Taenia serialis, Taenia taeniformis",0,1,0,1
Vulpes vulpes,Thelaziasis,Thelazia callipaeda,0,0,1,0
Vulpes vulpes,Tick-borne encephalitis,Flavivirus Tick-borne encephalitis virus,0,0,1,0
Vulpes vulpes,Toxocariasis,Toxocara canis,1,0,0,0
Vulpes vulpes,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Vulpes vulpes,Trichinosis,"Trichinella spiralis, Trichinella pseudospiralis, Trichinella britovi",0,1,0,0
Vulpes vulpes,Tuberculosis,Mycobacterium bovis,1,1,0,0
Vulpes vulpes,Tularemia,Francisella tularensis,1,1,1,0
Vulpes vulpes,West Nile fever,Flavivirus West Nile virus,0,0,1,0
Vulpes vulpes,Acanthocephalan infections,Moniliformis moniliformis,0,0,0,1
Zalophus californianus,Coccidioidomycosis,Coccidioides immitis,0,1,0,0
Zalophus californianus,Cryptosporidiosis,Cryptosporidium sp.,NA,NA,NA,NA
Zalophus californianus,Dirofilariasis,Dirofilaria immitis,0,0,1,0
Zalophus californianus,Giardiasis,Giardia intestinalis,1,1,0,0
Zalophus californianus,Leptospirosis,Leptospira interrogans,1,1,0,0
Zalophus californianus,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Crocuta crocuta,Dipylidiasis,Dipylidium caninum,0,0,0,1
Crocuta crocuta,Echinococcosis - unilocular,Echinococcus sp.,NA,NA,NA,NA
Crocuta crocuta,Rabies,Lyssavirus Rabies lyssavirus,1,0,0,0
Crocuta crocuta,Trypanosomiasis - African,Trypanosoma brucei rhodesiense,1,0,1,0
Crossarchus obscurus,Paragonimiasis,Paragonimus sp.,NA,NA,NA,NA
Cryptoprocta ferox,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Martes americana,Dioctophyma renale infection,Dioctophyma renale,0,0,0,1
Martes foina,Dirofilariasis,Dirofilaria repens,0,0,1,0
Martes foina,Rabies,Lyssavirus Rabies lyssavirus,1,0,0,0
Martes foina,Thelaziasis,Thelazia callipaeda,0,0,1,0
Martes foina,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Martes foina,Trichinosis,Trichinella britovi,0,1,0,0
Martes foina,Tularemia,Francisella tularensis,1,1,1,0
Martes martes,Dioctophyma renale infection,Dioctophyma renale,0,0,0,1
Martes martes,Leishmaniasis - visceral,Leishmania infantum,1,0,1,1
Martes martes,Microsporidiosis,Encephalitozoon cuniculi,NA,NA,NA,NA
Martes martes,Rabies,Lyssavirus Rabies lyssavirus,1,0,0,0
Martes martes,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Martes melampus,Japanese spotted fever,Haemaphysalis hystricis,0,1,0,0
Martes melampus,Sarcocystosis,Sarcocystis sp.,NA,NA,NA,NA
Martes pennanti,Sarcocystosis,Sarcocystis sp.,NA,NA,NA,NA
Martes pennanti,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Nandinia binotata,Trypanosomiasis - African,Trypanosoma brucei,1,0,1,0
Mustela altaica,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Mustela erminea,Cryptosporidiosis,Cryptosporidium sp.,NA,NA,NA,NA
Mustela erminea,Trichinosis,"Trichinella spiralis, Trichinella britovi",0,1,0,0
Mustela itatsi,Gnathostomiasis,Gnathostoma nipponicum,NA,NA,NA,NA
Mustela lutreola,Leptospirosis,Leptospira icterohaemorrhagiae,1,1,0,0
Mustela lutreola,Lyme disease,Borrelia burgdorferi,0,0,1,0
Mustela nigripes,Microsporidiosis,Encephalitozoon cuniculi,NA,NA,NA,NA
Mustela nivalis,Leishmaniasis - cutaneous,Leishmania major,NA,NA,NA,NA
Mustela putorius,Anaplasmosis,Anaplasma phagocytophilum,0,0,1,0
Mustela putorius,Cryptococcosis,Cryptococcus gattii,NA,NA,NA,NA
Mustela putorius,Dirofilariasis,Dirofilaria immitis,0,0,1,0
Mustela putorius,Ehrlichiosis - human monocytic,Candidatus Neoehrlichia mikurensis,NA,NA,NA,NA
Mustela putorius,Leishmaniasis - visceral,Leishmania infantum,1,0,1,1
Mustela putorius,Leptospirosis,Leptospira interrogans,1,1,0,0
Mustela putorius,Rabies,Lyssavirus Rabies lyssavirus,1,0,0,0
Mustela putorius,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Mustela sibirica,Gnathostomiasis,Gnathostoma nipponicum,NA,NA,NA,NA
Paguma larvata,Campylobacteriosis,Campylobacter sp.,NA,NA,NA,NA
Paguma larvata,Cryptosporidiosis,Cryptosporidium sp.,NA,NA,NA,NA
Paguma larvata,Giardiasis,Giardia duodenalis,1,1,0,0
Paguma larvata,Microsporidiosis,Enterocytozoon bieneusi,NA,NA,NA,NA
Paguma larvata,Rabies,Lyssavirus Rabies lyssavirus,1,0,0,0
Paguma larvata,SARS,Alphacoronavirus Alphacoronavirus 1,0,1,0,0
Paguma larvata,Salmonellosis,Salmonella enterica,1,1,0,0
Paguma larvata,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Paguma larvata,Yersiniosis,Yersinia pseudotuberculosis,1,1,0,0
Panthera leo,Anaplasmosis,Anaplasma phagocytophilum,0,0,1,0
Panthera leo,Anthrax,Bacillus anthracis,0,1,0,0
Panthera leo,Bartonellosis - cat borne,Bartonella henselae,0,0,1,0
Panthera leo,Echinococcosis - unilocular,Echinococcus granulosus,0,1,0,1
Panthera leo,Gnathostomiasis,Gnathostoma spinigerum,0,0,0,1
Panthera leo,Leishmaniasis - visceral,Leishmania infantum,1,0,1,1
Panthera leo,Pentastomiasis - Armillifer,Armillifer armillatus,0,1,0,1
Panthera leo,Pentastomiasis - Linguatula,Linguatula serrata,0,0,0,1
Panthera leo,Rabies,Lyssavirus Rabies lyssavirus,1,0,0,0
Panthera leo,Toxocariasis,Toxocara cati,1,0,0,0
Panthera leo,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Panthera leo,Trypanosomiasis - African,Trypanosoma brucei gambiense,1,0,1,0
Panthera leo,Tuberculosis,Mycobacterium tuberculosis,1,1,0,0
Panthera onca,Echinococcosis - American polycystic,Echinococcus oligarthrus,0,0,0,1
Panthera onca,Leptospirosis,Leptospira interrogans Canicola,1,1,0,0
Panthera onca,Q-fever,Coxiella burnetii,1,1,1,0
Panthera onca,Spotted fevers - New World,Rickettsia parkeri,NA,NA,NA,NA
Panthera onca,Toxocariasis,Toxocara cati,1,0,0,0
Panthera onca,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Panthera onca,Tungiasis,Tunga penetrans,0,1,0,0
Panthera pardus,Dirofilariasis,Dirofilaria immitis,0,0,1,0
Panthera pardus,Influenza,Influenzavirus A Influenza A virus,1,0,0,0
Panthera pardus,Pentastomiasis - Armillifer,Armillifer armillatus,0,1,0,1
Panthera pardus,Pentastomiasis - Linguatula,Linguatula serrata,0,0,0,1
Panthera pardus,Toxocariasis,Toxocara cati,1,0,0,0
Panthera pardus,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Panthera tigris,Bartonellosis - cat borne,Bartonella henselae,0,0,1,0
Panthera tigris,Histoplasmosis,Histoplasma capsulatum,0,1,0,0
Panthera tigris,Influenza,Influenzavirus A Influenza A virus,1,0,0,0
Panthera tigris,Paragonimiasis,Paragonimus westermani,0,0,0,1
Panthera tigris,Toxocariasis,Toxocara cati,1,0,0,0
Panthera tigris,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Paradoxurus zeylonensis,Rabies,Lyssavirus Rabies lyssavirus,1,0,0,0
Ailuropoda melanoleuca,Cryptosporidiosis,Cryptosporidium sp.,NA,NA,NA,NA
Ailuropoda melanoleuca,Microsporidiosis,Enterocytozoon bieneusi,NA,NA,NA,NA
Ailuropoda melanoleuca,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Ailurus fulgens,Amoebiasis,Entamoeba histolytica,1,1,0,0
Ailurus fulgens,Ascariasis,Ascaris lumbricoides,1,1,0,0
Ailurus fulgens,Cryptosporidiosis,Cryptosporidium parvum,1,1,0,0
Ailurus fulgens,Cyclosporiasis,Cyclospora cayatenensis,1,1,0,0
Ailurus fulgens,Diphyllobothriasis,Diphyllobothrium latum,0,0,0,1
Ailurus fulgens,Hookworm,Ancylostoma duodenale,0,1,0,0
Ailurus fulgens,Strongyloidiasis,Strongyloides stercoralis,1,1,0,0
Ailurus fulgens,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Suricata suricatta,Melioidosis,Burkholderia pseudomallei,NA,NA,NA,NA
Suricata suricatta,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Suricata suricatta,Tuberculosis,Mycobacterium tuberculosis,1,1,0,0
Melogale moschata,Rabies,Lyssavirus Rabies lyssavirus,1,0,0,0
Mustela putorius,Cryptococcosis,Cryptococcus gattii,NA,NA,NA,NA
Mustela putorius,Dirofilariasis,Dirofilaria immitis,0,0,1,0
Mustela putorius,Influenza,Influenzavirus A Influenza A virus,1,0,0,0
Mustela putorius,Rabies,Lyssavirus Rabies lyssavirus,1,0,0,0
Neovison vison,Cryptosporidiosis,"Cryptosporidium canis, Cryptosporidium meleagridis, Cryptosporidium parvum",1,1,0,0
Neovison vison,Dioctophyma renale infection,Dioctophyma renale,0,0,0,1
Neovison vison,Leptospirosis,Leptospira icterohaemorrhagiae,1,1,0,0
Neovison vison,Paragonimiasis,Paragonimus kellicotti,0,0,0,1
Neovison vison,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Canis lupus,Anthrax,Bacillus anthracis,0,1,0,0
Canis lupus,Diphyllobothriasis,Diphyllobothrium latum,0,0,0,1
Canis lupus,Influenza,Influenzavirus A Influenza A virus,1,0,0,0
Canis lupus,Rabies,Lyssavirus Rabies lyssavirus,1,0,0,0
Canis lupus,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Canis lupus,Yersiniosis,Yersinia enterocolitica,1,1,0,0
Nyctereutes procyonoides,Dirofilariasis,Dirofilaria immitis,0,0,1,0
Nyctereutes procyonoides,Paragonimiasis,Paragonimus westermani,0,0,0,1
Herpailurus yagouaroundi,Vaccinia and cowpox,Cowpox virus,NA,NA,NA,NA
Otocolobus manul,Toxoplasmosis,Toxoplasma gondii,1,1,0,1
Felis catus,Paragonimiasis,Paragonimus kellicotti,0,0,0,1
