t.name,totalCases
"""Aves""",218565182
"""Phalacrocorax capensis""",345435
"""Chroicocephalus ridibundus""",14985
"""Grus monacha""",12368
"""Spheniscus demersus""",9454
"""Cygnus olor""",7160
"""Oncorhynchus mykiss""",6000
"""Branta canadensis""",3132
"""Anser anser""",2263
"""Vulpes vulpes""",1412
"""Anas platyrhynchos""",1258
"""Phasianus colchicus""",1184
"""Larus argentatus""",1137
"""Anas crecca""",1124
"""Branta leucopsis""",1029
"""Uria aalge""",973
"""Sterna hirundo""",962
"""Ichthyaetus ichthyaetus""",902
"""Chroicocephalus brunnicephalus""",899
"""Cygnus melancoryphus""",851
"""Larus dominicanus""",848
"""Anser brachyrhynchus""",828
"""Laridae""",714
"""Mephitis mephitis""",603
"""Threskiornis aethiopicus""",594
"""Corvus splendens""",546
"""Antigone vipio""",531
"""Accipiter nisus""",487
"""Thalasseus maximus""",446
"""Sula variegata""",397
"""Pelecanus crispus""",397
"""Corvus macrorhynchos""",357
"""Morus bassanus""",342
"""Morus capensis""",318
"""Phoca vitulina""",279
"""Cygnus atratus""",252
"""Mareca penelope""",249
"""Haliaeetus albicilla""",206
"""Alopochen aegyptiaca""",201
"""Columba livia""",192
"""Larus fuscus graellsii""",191
"""Larus michahellis atlantis""",177
"""Thalasseus sandvicensis""",174
"""Puma""",174
"""Phalacrocorax carbo""",169
"""Phalacrocorax lucidus""",162
"""Strix aluco""",159
"""Ciconia ciconia""",157
"""Falco tinnunculus""",144
"""Accipiter gentilis""",127
"""Larus canus""",121
"""Spatula discors""",121
"""Ardea cinerea""",119
"""Milvus milvus""",100
"""Lynx rufus""",98
"""Anser sp.""",97
"""Fulmarus glacialis""",89
"""Egretta garzetta""",85
"""Bos taurus""",82
"""Leucophaeus modestus""",78
"""Stercorarius skua""",75
"""Larus cachinnans""",70
"""Gallinula chloropus""",67
"""Corvus frugilegus""",61
"""Felis catus""",60
"""Tyto alba""",57
"""Larosterna inca""",56
"""Corvus corone""",56
"""Anser albifrons""",53
"""Didelphis virginiana""",53
"""Rissa tridactyla""",50
"""Dendrocopos major""",49
"""Bubo bubo""",48
"""Ardea alba""",46
"""Chroicocephalus cirrocephalus""",45
"""Phoenicopterus roseus""",43
"""Ara ararauna""",42
"""Plectropterus gambensis""",42
"""Podiceps cristatus""",41
"""Alectoris rufa""",39
"""Pandion haliaetus""",39
"""Cygnus columbianus""",39
"""Cathartes aura""",38
"""Pterodroma macroptera""",38
"""Haematopus bachmani""",38
"""Chroicocephalus genei""",36
"""Streptopelia decaocto""",36
"""Grus paradisea""",36
"""Stercorarius lonnbergi""",35
"""Haematopus ostralegus""",32
"""Charadrius hiaticula""",32
"""Bostrychia hagedash""",32
"""Coscoroba coscoroba""",29
"""Ursus arctos""",29
"""Phalacrocorax brasilianus""",28
"""Sterna hirundinacea""",27
"""Falco sparverius""",27
"""Netta rufina""",25
"""Numenius arquata""",24
"""Larus marinus""",23
"""Larus schistisagus""",22
"""Chlidonias hybrida""",20
"""Passer montanus""",20
"""Stercorarius chilensis""",20
"""Corvus corax""",20
"""Pekania pennanti""",20
"""Canis latrans""",20
"""Halichoerus grypus""",19
"""Mergus merganser""",18
"""Tachybaptus ruficollis""",17
"""Fringilla coelebs""",17
"""Enicognathus leptorhynchus""",16
"""Aix galericulata""",16
"""Thalasseus elegans""",15
"""Leucophaeus pipixcan""",14
"""Anas acuta""",14
"""Panthera pardus orientalis""",14
"""Harpactes erythrocephalus""",14
"""Canis lupus familiaris""",13
"""Anser caerulescens caerulescens""",13
"""Strix uralensis""",13
"""Platalea minor""",11
"""Grus japonensis""",11
"""Ciconia boyciana""",11
"""Buteo lagopus""",10
"""Milvus migrans""",10
"""Martes americana""",10
"""Caracara plancus""",8
"""Megascops choliba""",8
"""Haliaeetus pelagicus""",8
"""Tyto longimembris""",8
"""Pica pica""",7
"""Chloephaga picta""",7
"""Coragyps atratus""",7
"""Phalacrocorax gaimardi""",7
"""Calidris alba""",7
"""Rynchops niger""",7
"""Tringa flavipes""",7
"""Aythya marila""",7
"""Buteogallus urubitinga""",6
"""Nasua nasua""",6
"""Sula nebouxii""",6
"""Quiscalus mexicanus""",6
"""Sterna paradisaea""",6
"""Rupornis magnirostris""",5
"""Enicognathus ferrugineus""",5
"""Garrulus glandarius""",5
"""Coloeus monedula""",4
"""Sternula albifrons""",4
"""Chroicocephalus maculipennis""",3
"""Calidris alpina""",3
"""Circus cyaneus""",3
"""Lontra canadensis""",3
"""Circus aeruginosus""",3
"""Somateria mollissima""",2
"""Caracara""",2
"""Sterna dougallii""",2
"""Falco rusticolus""",2
"""Ichthyaetus melanocephalus""",2
"""Nyctereutes procyonoides""",2
"""Sula leucogaster""",1
"""Martes martes""",1
"""Gelochelidon nilotica""",1
"""Ursus maritimus""",1
"""Spatula clypeata""",1
"""Passer domesticus""",1
"""Phoenicopterus chilensis""",1
"""Neogale vison""",1
"""Anser indicus""",1