yearMonth,species,monthlyReports
"""2005-10""","""Aves""",32
"""2005-11""","""Aves""",51
"""2005-12""","""Aves""",48
"""2005-7""","""Aves""",9
"""2005-8""","""Aves""",1
"""2005-9""","""Aves""",1
"""2006-1""","""Aves""",53
"""2006-10""","""Aves""",6
"""2006-11""","""Aves""",16
"""2006-12""","""Aves""",91
"""2006-2""","""Aves""",73
"""2006-3""","""Aves""",57
"""2006-4""","""Aves""",30
"""2006-5""","""Aves""",15
"""2006-6""","""Aves""",15
"""2006-7""","""Aves""",14
"""2006-8""","""Aves""",10
"""2006-9""","""Aves""",6
"""2007-1""","""Aves""",150
"""2007-10""","""Aves""",125
"""2007-11""","""Aves""",155
"""2007-12""","""Aves""",150
"""2007-2""","""Aves""",174
"""2007-3""","""Aves""",165
"""2007-4""","""Aves""",74
"""2007-5""","""Aves""",153
"""2007-6""","""Aves""",138
"""2007-7""","""Aves""",136
"""2007-8""","""Aves""",83
"""2007-9""","""Aves""",55
"""2008-1""","""Aves""",147
"""2008-10""","""Aves""",64
"""2008-11""","""Aves""",47
"""2008-12""","""Aves""",105
"""2008-2""","""Aves""",121
"""2008-3""","""Aves""",112
"""2008-4""","""Aves""",108
"""2008-5""","""Aves""",98
"""2008-6""","""Aves""",65
"""2008-7""","""Aves""",61
"""2008-8""","""Aves""",61
"""2008-9""","""Aves""",97
"""2009-1""","""Aves""",102
"""2009-11""","""Aves""",44
"""2009-12""","""Aves""",43
"""2009-2""","""Aves""",94
"""2009-3""","""Aves""",76
"""2009-4""","""Aves""",48
"""2009-5""","""Aves""",52
"""2009-6""","""Aves""",45
"""2010-1""","""Aves""",55
"""2010-10""","""Aves""",1
"""2010-11""","""Aves""",44
"""2010-12""","""Aves""",46
"""2010-2""","""Aves""",71
"""2010-3""","""Aves""",64
"""2010-4""","""Aves""",40
"""2010-5""","""Aves""",32
"""2010-6""","""Aves""",32
"""2010-7""","""Aves""",31
"""2011-1""","""Aves""",64
"""2011-10""","""Aves""",11
"""2011-11""","""Aves""",12
"""2011-12""","""Aves""",42
"""2011-2""","""Aves""",71
"""2011-3""","""Aves""",60
"""2011-4""","""Aves""",36
"""2011-5""","""Aves""",18
"""2011-7""","""Aves""",18
"""2011-8""","""Aves""",16
"""2011-9""","""Aves""",14
"""2012-1""","""Aves""",49
"""2012-10""","""Aves""",21
"""2012-12""","""Aves""",27
"""2012-2""","""Aves""",27
"""2012-3""","""Aves""",29
"""2012-4""","""Aves""",12
"""2012-5""","""Aves""",2
"""2012-6""","""Aves""",7
"""2012-7""","""Aves""",4
"""2012-8""","""Aves""",15
"""2012-9""","""Aves""",2
"""2013-1""","""Aves""",18
"""2013-1""","""Chroicocephalus ridibundus""",1
"""2013-10""","""Aves""",19
"""2013-2""","""Aves""",21
"""2013-3""","""Aves""",14
"""2013-4""","""Aves""",14
"""2013-5""","""Aves""",9
"""2013-6""","""Aves""",6
"""2013-7""","""Aves""",7
"""2013-8""","""Aves""",5
"""2013-9""","""Aves""",2
"""2014-1""","""Aves""",16
"""2014-2""","""Aves""",15
"""2014-3""","""Aves""",10
"""2019-12""","""Aves""",2
"""2019-5""","""Aves""",2
"""2019-6""","""Aves""",7
"""2019-8""","""Aves""",2
"""2020-1""","""Aves""",5
"""2020-10""","""Anser anser""",9
"""2020-10""","""Aves""",4
"""2020-11""","""Cygnus olor""",8
"""2020-12""","""Aves""",41
"""2020-12""","""Cygnus olor""",26
"""2020-12""","""Branta canadensis""",25
"""2020-12""","""Anser anser""",2
"""2020-2""","""Aves""",3
"""2020-3""","""Aves""",7
"""2020-4""","""Aves""",2
"""2020-7""","""Aves""",8
"""2020-8""","""Aves""",9
"""2020-9""","""Aves""",8
"""2021-1""","""Cygnus olor""",23
"""2021-1""","""Aves""",22
"""2021-10""","""Aves""",56
"""2021-11""","""Aves""",45
"""2021-11""","""Sterna hirundo""",22
"""2021-11""","""Cygnus olor""",5
"""2021-11""","""Larus argentatus""",4
"""2021-12""","""Aves""",40
"""2021-12""","""Sterna hirundo""",20
"""2021-2""","""Aves""",37
"""2021-2""","""Branta leucopsis""",5
"""2021-3""","""Aves""",54
"""2021-3""","""Branta leucopsis""",6
"""2021-4""","""Aves""",64
"""2021-4""","""Branta leucopsis""",4
"""2021-5""","""Aves""",98
"""2021-5""","""Branta leucopsis""",33
"""2021-5""","""Sterna hirundo""",3
"""2021-5""","""Larus argentatus""",1
"""2021-6""","""Aves""",93
"""2021-6""","""Larus argentatus""",40
"""2021-6""","""Branta leucopsis""",25
"""2021-6""","""Cygnus olor""",1
"""2021-7""","""Aves""",93
"""2021-7""","""Larus argentatus""",20
"""2021-8""","""Aves""",33
"""2021-8""","""Cygnus olor""",18
"""2021-8""","""Larus argentatus""",15
"""2021-9""","""Aves""",63
"""2021-9""","""Sterna hirundo""",26
"""2021-9""","""Branta leucopsis""",14
"""2022-1""","""Aves""",34
"""2022-10""","""Aves""",177
"""2022-10""","""Anser anser""",60
"""2022-10""","""Cygnus olor""",54
"""2022-10""","""Sterna hirundo""",39
"""2022-10""","""Chroicocephalus ridibundus""",39
"""2022-10""","""Branta canadensis""",39
"""2022-10""","""Morus bassanus""",39
"""2022-10""","""Larus argentatus""",37
"""2022-10""","""Branta leucopsis""",13
"""2022-10""","""Vulpes vulpes""",13
"""2022-11""","""Aves""",319
"""2022-11""","""Cygnus olor""",107
"""2022-11""","""Chroicocephalus ridibundus""",66
"""2022-11""","""Anser anser""",50
"""2022-11""","""Branta leucopsis""",36
"""2022-11""","""Branta canadensis""",35
"""2022-11""","""Larus argentatus""",35
"""2022-11""","""Sterna hirundo""",33
"""2022-12""","""Aves""",285
"""2022-12""","""Cygnus olor""",163
"""2022-12""","""Chroicocephalus ridibundus""",83
"""2022-12""","""Anser anser""",45
"""2022-12""","""Larus argentatus""",43
"""2022-12""","""Branta leucopsis""",41
"""2022-12""","""Branta canadensis""",30
"""2022-12""","""Sterna hirundo""",29
"""2022-12""","""Vulpes vulpes""",10
"""2022-2""","""Aves""",49
"""2022-2""","""Cygnus olor""",6
"""2022-3""","""Aves""",15
"""2022-3""","""Sterna hirundo""",13
"""2022-3""","""Vulpes vulpes""",3
"""2022-4""","""Aves""",48
"""2022-4""","""Vulpes vulpes""",36
"""2022-4""","""Morus bassanus""",4
"""2022-4""","""Anser anser""",4
"""2022-4""","""Branta leucopsis""",4
"""2022-4""","""Chroicocephalus ridibundus""",4
"""2022-5""","""Aves""",78
"""2022-5""","""Vulpes vulpes""",32
"""2022-5""","""Larus argentatus""",3
"""2022-6""","""Aves""",37
"""2022-6""","""Vulpes vulpes""",28
"""2022-6""","""Sterna hirundo""",12
"""2022-6""","""Morus bassanus""",6
"""2022-6""","""Chroicocephalus ridibundus""",2
"""2022-7""","""Aves""",46
"""2022-7""","""Larus argentatus""",14
"""2022-7""","""Sterna hirundo""",10
"""2022-7""","""Morus bassanus""",9
"""2022-8""","""Aves""",59
"""2022-8""","""Morus bassanus""",12
"""2022-9""","""Aves""",95
"""2022-9""","""Larus argentatus""",49
"""2022-9""","""Anser anser""",39
"""2022-9""","""Chroicocephalus ridibundus""",39
"""2022-9""","""Cygnus olor""",39
"""2022-9""","""Branta canadensis""",39
"""2022-9""","""Vulpes vulpes""",18
"""2022-9""","""Morus bassanus""",17
"""2023-1""","""Aves""",331
"""2023-1""","""Chroicocephalus ridibundus""",110
"""2023-1""","""Cygnus olor""",96
"""2023-1""","""Larus argentatus""",69
"""2023-1""","""Anser anser""",68
"""2023-1""","""Branta canadensis""",26
"""2023-1""","""Vulpes vulpes""",25
"""2023-1""","""Sterna hirundo""",23
"""2023-1""","""Branta leucopsis""",14
"""2023-2""","""Aves""",197
"""2023-2""","""Chroicocephalus ridibundus""",85
"""2023-2""","""Cygnus olor""",82
"""2023-2""","""Branta leucopsis""",21
"""2023-2""","""Sterna hirundo""",19
"""2023-2""","""Larus argentatus""",9
"""2023-2""","""Anser anser""",7
"""2023-2""","""Vulpes vulpes""",4
"""2023-3""","""Aves""",191
"""2023-3""","""Chroicocephalus ridibundus""",84
"""2023-3""","""Cygnus olor""",83
"""2023-3""","""Branta leucopsis""",17
"""2023-3""","""Anser anser""",15
"""2023-3""","""Larus argentatus""",15
"""2023-3""","""Vulpes vulpes""",10
"""2023-3""","""Sterna hirundo""",8
"""2023-4""","""Aves""",109
"""2023-4""","""Chroicocephalus ridibundus""",60
"""2023-4""","""Vulpes vulpes""",25
"""2023-4""","""Larus argentatus""",12
"""2023-4""","""Branta canadensis""",12
"""2023-4""","""Cygnus olor""",8
"""2023-5""","""Chroicocephalus ridibundus""",66
"""2023-5""","""Aves""",49
"""2023-5""","""Sterna hirundo""",32
"""2023-5""","""Larus argentatus""",17
"""2023-5""","""Cygnus olor""",8
"""2023-5""","""Vulpes vulpes""",6
"""2023-6""","""Sterna hirundo""",27
"""2023-6""","""Chroicocephalus ridibundus""",24
"""2023-6""","""Larus argentatus""",12
"""2023-6""","""Aves""",11
"""2023-6""","""Vulpes vulpes""",2
"""2023-7""","""Chroicocephalus ridibundus""",6
"""2023-7""","""Aves""",4
"""2023-7""","""Larus argentatus""",2
"""2023-7""","""Sterna hirundo""",1