iso3,species,flua,fluCases
"""SGP""","""Homo sapiens""","""Influenza A virus""",872
"""MNG""","""Homo sapiens""","""Influenza A virus""",1785
"""MYS""","""Homo sapiens""","""Influenza A virus""",3516
"""JPN""","""Homo sapiens""","""Influenza A virus""",271
"""CHN""","""Homo sapiens""","""Influenza A virus""",56823
"""AUS""","""Homo sapiens""","""Influenza A virus""",12341
"""THA""","""Homo sapiens""","""Influenza A virus""",620
"""LKA""","""Homo sapiens""","""Influenza A virus""",165
"""NPL""","""Homo sapiens""","""Influenza A virus""",1257
"""IND""","""Homo sapiens""","""Influenza A virus""",3159
"""BTN""","""Homo sapiens""","""Influenza A virus""",463
"""UKR""","""Homo sapiens""","""Influenza A virus""",10597
"""TUR""","""Homo sapiens""","""Influenza A virus""",716
"""TJK""","""Homo sapiens""","""Influenza A virus""",342
"""CHE""","""Homo sapiens""","""Influenza A virus""",57871
"""SWE""","""Homo sapiens""","""Influenza A virus""",40304
"""ESP""","""Homo sapiens""","""Influenza A virus""",38402
"""SVN""","""Homo sapiens""","""Influenza A virus""",7258
"""SVK""","""Homo sapiens""","""Influenza A virus""",772
"""SRB""","""Homo sapiens""","""Influenza A virus""",1992
"""ROU""","""Homo sapiens""","""Influenza A virus""",3523
"""PRT""","""Homo sapiens""","""Influenza A virus""",33829
"""POL""","""Homo sapiens""","""Influenza A virus""",3856
"""NOR""","""Homo sapiens""","""Influenza A virus""",53213
"""USA""","""Homo sapiens""","""Influenza A virus""",86761
"""NLD""","""Homo sapiens""","""Influenza A virus""",29748
"""MNE""","""Homo sapiens""","""Influenza A virus""",682
"""MLT""","""Homo sapiens""","""Influenza A virus""",869
"""LUX""","""Homo sapiens""","""Influenza A virus""",917
"""LTU""","""Homo sapiens""","""Influenza A virus""",3389
"""LVA""","""Homo sapiens""","""Influenza A virus""",1028
"""KGZ""","""Homo sapiens""","""Influenza A virus""",177
"""ITA""","""Homo sapiens""","""Influenza A virus""",12874
"""ISR""","""Homo sapiens""","""Influenza A virus""",1216
"""IRL""","""Homo sapiens""","""Influenza A virus""",2703
"""ISL""","""Homo sapiens""","""Influenza A virus""",1696
"""HUN""","""Homo sapiens""","""Influenza A virus""",2091
"""GRC""","""Homo sapiens""","""Influenza A virus""",751
"""DEU""","""Homo sapiens""","""Influenza A virus""",2974
"""GEO""","""Homo sapiens""","""Influenza A virus""",489
"""FRA""","""Homo sapiens""","""Influenza A virus""",84148
"""FIN""","""Homo sapiens""","""Influenza A virus""",433
"""EST""","""Homo sapiens""","""Influenza A virus""",1697
"""DNK""","""Homo sapiens""","""Influenza A virus""",44926
"""CZE""","""Homo sapiens""","""Influenza A virus""",5001
"""HRV""","""Homo sapiens""","""Influenza A virus""",5193
"""BGR""","""Homo sapiens""","""Influenza A virus""",766
"""BEL""","""Homo sapiens""","""Influenza A virus""",739
"""BLR""","""Homo sapiens""","""Influenza A virus""",741
"""AUT""","""Homo sapiens""","""Influenza A virus""",10760
"""ARM""","""Homo sapiens""","""Influenza A virus""",222
"""ALB""","""Homo sapiens""","""Influenza A virus""",1196
"""ARE""","""Homo sapiens""","""Influenza A virus""",806
"""TUN""","""Homo sapiens""","""Influenza A virus""",228
"""SAU""","""Homo sapiens""","""Influenza A virus""",618
"""QAT""","""Homo sapiens""","""Influenza A virus""",7164
"""PAK""","""Homo sapiens""","""Influenza A virus""",718
"""OMN""","""Homo sapiens""","""Influenza A virus""",1081
"""MAR""","""Homo sapiens""","""Influenza A virus""",299
"""LBN""","""Homo sapiens""","""Influenza A virus""",331
"""JOR""","""Homo sapiens""","""Influenza A virus""",126
"""EGY""","""Homo sapiens""","""Influenza A virus""",2584
"""BHR""","""Homo sapiens""","""Influenza A virus""",2898
"""AFG""","""Homo sapiens""","""Influenza A virus""",193
"""URY""","""Homo sapiens""","""Influenza A virus""",189
"""PER""","""Homo sapiens""","""Influenza A virus""",2267
"""PRY""","""Homo sapiens""","""Influenza A virus""",1164
"""PAN""","""Homo sapiens""","""Influenza A virus""",577
"""MEX""","""Homo sapiens""","""Influenza A virus""",11734
"""ECU""","""Homo sapiens""","""Influenza A virus""",512
"""COL""","""Homo sapiens""","""Influenza A virus""",720
"""CHL""","""Homo sapiens""","""Influenza A virus""",23851
"""CAN""","""Homo sapiens""","""Influenza A virus""",104796
"""BRA""","""Homo sapiens""","""Influenza A virus""",4128
"""ZAF""","""Homo sapiens""","""Influenza A virus""",474
"""NER""","""Homo sapiens""","""Influenza A virus""",142
"""MOZ""","""Homo sapiens""","""Influenza A virus""",182
"""MDG""","""Homo sapiens""","""Influenza A virus""",528
"""ETH""","""Homo sapiens""","""Influenza A virus""",546
"""DZA""","""Homo sapiens""","""Influenza A virus""",53
"""PHL""","""Homo sapiens""","""Influenza A virus""",248
"""IDN""","""Homo sapiens""","""Influenza A virus""",424
"""UZB""","""Homo sapiens""","""Influenza A virus""",47
"""TKM""","""Homo sapiens""","""Influenza A virus""",6
"""AZE""","""Homo sapiens""","""Influenza A virus""",99
"""IRQ""","""Homo sapiens""","""Influenza A virus""",149
"""HTI""","""Homo sapiens""","""Influenza A virus""",126
"""GTM""","""Homo sapiens""","""Influenza A virus""",241
"""DOM""","""Homo sapiens""","""Influenza A virus""",131
"""ARG""","""Homo sapiens""","""Influenza A virus""",34707
"""GHA""","""Homo sapiens""","""Influenza A virus""",1241
"""KAZ""","""Homo sapiens""","""Influenza A virus""",344
"""SLV""","""Homo sapiens""","""Influenza A virus""",122
"""BLZ""","""Homo sapiens""","""Influenza A virus""",264
"""TGO""","""Homo sapiens""","""Influenza A virus""",375
"""MUS""","""Homo sapiens""","""Influenza A virus""",194
"""NIC""","""Homo sapiens""","""Influenza A virus""",902
"""HND""","""Homo sapiens""","""Influenza A virus""",150
"""KHM""","""Homo sapiens""","""Influenza A virus""",378
"""GIN""","""Homo sapiens""","""Influenza A virus""",52
"""CMR""","""Homo sapiens""","""Influenza A virus""",186
"""SSD""","""Homo sapiens""","""Influenza A virus""",5
"""MDV""","""Homo sapiens""","""Influenza A virus""",959
"""ZMB""","""Homo sapiens""","""Influenza A virus""",180
"""GAB""","""Homo sapiens""","""Influenza A virus""",38
"""CRI""","""Homo sapiens""","""Influenza A virus""",436
"""UGA""","""Homo sapiens""","""Influenza A virus""",220
"""SEN""","""Homo sapiens""","""Influenza A virus""",492
"""BFA""","""Homo sapiens""","""Influenza A virus""",71
"""NGA""","""Homo sapiens""","""Influenza A virus""",54
"""MRT""","""Homo sapiens""","""Influenza A virus""",60
"""MLI""","""Homo sapiens""","""Influenza A virus""",105
"""BGD""","""Homo sapiens""","""Influenza A virus""",691
"""CAF""","""Homo sapiens""","""Influenza A virus""",38
"""TLS""","""Homo sapiens""","""Influenza A virus""",287
"""ZWE""","""Homo sapiens""","""Influenza A virus""",10
"""FJI""","""Homo sapiens""","""Influenza A virus""",211
"""NAM""","""Homo sapiens""","""Influenza A virus""",16
"""SUR""","""Homo sapiens""","""Influenza A virus""",10
"""KEN""","""Homo sapiens""","""Influenza A virus""",212
"""MMR""","""Homo sapiens""","""Influenza A virus""",16
"""YEM""","""Homo sapiens""","""Influenza A virus""",6
"""SYC""","""Homo sapiens""","""Influenza A virus""",1
"""CUB""","""Homo sapiens""","""Influenza A virus""",392
"""LCA""","""Homo sapiens""","""Influenza A virus""",1
"""MKD""","""Homo sapiens""","""Influenza A virus""",85
"""BRB""","""Homo sapiens""","""Influenza A virus""",2
"""KWT""","""Homo sapiens""","""Influenza A virus""",144