rankByHumanCases,country,hostScientificName,hostCommonName,influenzaCases
1,China,"""Homo sapiens""",Humans,1966947
1,China,"""Equidae""",Horses,11851
1,China,"""Sus scrofa""",Wild boar,4
1,China,"""Canis lupus familiaris""",Dog,2
2,Canada,"""Homo sapiens""",Humans,885596
2,Canada,"""Sus scrofa""",Wild boar,450
2,Canada,"""Mephitis mephitis""",Striped skunk,80
2,Canada,"""Vulpes vulpes""",Red fox,55
2,Canada,"""Phoca vitulina""",Harbor seal,11
2,Canada,"""Neogale vison""",American mink,1
3,France,"""Homo sapiens""",Humans,731139
3,France,"""Vulpes vulpes""",Red fox,1
4,Sweden,"""Homo sapiens""",Humans,373476
5,South Africa,"""Homo sapiens""",Humans,367217
6,Switzerland,"""Homo sapiens""",Humans,290763
7,Mexico,"""Homo sapiens""",Humans,289022
8,Spain,"""Homo sapiens""",Humans,254626
9,United States,"""Homo sapiens""",Humans,248048
9,United States,"""Vulpes vulpes""",Red fox,87
9,United States,"""Mephitis mephitis""",Striped skunk,34
9,United States,"""Puma""",Puma,19
9,United States,"""Phoca vitulina""",Harbor seal,16
9,United States,"""Lynx rufus""",Bobcat,6
9,United States,"""Felis catus""",Cat,6
9,United States,"""Ursus arctos""",Brown bear,3
9,United States,"""Pekania pennanti""",Fisher cat,3
9,United States,"""Didelphis virginiana""",Virginia opposum,3
9,United States,"""Panthera pardus orientalis""",Amur leopard,1
9,United States,"""Martes americana""",American marten,1
9,United States,"""Lontra canadensis""",North American river otter,1
9,United States,"""Halichoerus grypus""",Grey seal,1
9,United States,"""Canis latrans""",Coyote,1
9,United States,"""Bos taurus""",Cattle,1
10,Zimbabwe,"""Homo sapiens""",Humans,243745
11,Japan,"""Homo sapiens""",Humans,229434
11,Japan,"""Equidae""",Horses,4995
11,Japan,"""Sus scrofa""",Wild boar,174
11,Japan,"""Vulpes vulpes""",Red fox,3
11,Japan,"""Nyctereutes procyonoides""",Raccoon,1
12,Italy,"""Homo sapiens""",Humans,227957
12,Italy,"""Sus scrofa""",Wild boar,384
12,Italy,"""Equidae""",Horses,35
12,Italy,"""Canis lupus familiaris""",Dog,5
13,Argentina,"""Homo sapiens""",Humans,173566
13,Argentina,"""Sus scrofa""",Wild boar,2455
14,Qatar,"""Homo sapiens""",Humans,162816
15,Denmark,"""Homo sapiens""",Humans,145156
15,Denmark,"""Neogale vison""",American mink,60437
15,Denmark,"""Sus scrofa""",Wild boar,1670
16,Norway,"""Homo sapiens""",Humans,137532
16,Norway,"""Sus scrofa""",Wild boar,279
17,Mexico,"""Sus scrofa""",Wild boar,2
18,Portugal,"""Homo sapiens""",Humans,134823
19,Philippines,"""Homo sapiens""",Humans,134138
20,Australia,"""Homo sapiens""",Humans,97912
20,Australia,"""Equidae""",Horses,1454
20,Australia,"""Sus scrofa""",Wild boar,100